"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","SONA_id","rt","stimulus","response","question_order","slider_start","practiceTrial","practiceTrialNum","correct","image_path","concept","repetition","map_id","map_num","scale_name","orientation_code","mapping_code","rotation_code","shift_code","ishihara_plate","correct_response"
"true","false","[]","[]","[]","preload","0","1325","0.0-0.0","jsvw0zanag","2","97319","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2713","0.0-1.0","jsvw0zanag","2","97319","1387","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5432","0.0-2.0","jsvw0zanag","2","97319","1715","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-select","3","13780","0.0-3.0","jsvw0zanag","2","97319","8345","","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","17712","0.0-4.0","jsvw0zanag","2","97319","3930","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","34231","0.0-5.0","jsvw0zanag","2","97319","16511","","{""Age"":""19"",""Gender"":""Female"",""Race/ethnicity"":""White"",""Languages"":""English/ some spanish ""}","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","6","118928","0.0-6.0","jsvw0zanag","2","97319","84694","<div style='text-align:left; font-size:20px; line-height:25px; width: 1000px;'>
                                During this experiment you will be asked to rate how much you associate maps with                    different concepts.<br> Below, you can see some examples of the maps you will be asked to rate. Above the maps
                    is the list of concepts.<br>You will be asked                    to rate how much you associate each map with each concept on a scale from 'not at all' to 'very much' like the
                    one below. <br><br>
                    Now, please look at the list of concepts and maps. For each concept, think about the map you associate 'very
                    much' with the concept.<br>                     When you see that map during the experiment, please rate it near the 'very much' endpoint of the
                    scale.<br>Now, please think about which map you associate 'not at all'                     with each concept. When you see that map during the experiment, please rate it near the 'not at all' endpoint
                    of the scale.<br>
                    Please use the full range of the scale. That is, if a map is somewhat associated with the concept, you would
                    click partway between the middle point and right side of the scale.                    You will be asked to rate each map for a given concept before moving on to the next concept.<br>Press the
                    'Continue' button for instructions on how to use the slider.                    <br>
                </div>

                <div style=""width: 500px; margin: 0 auto;"">
                    <!-- Centered text paragraphs -->
                    <div style=""text-align: center; width: 500px;"">
                        <p style=""font-size:25px; line-height:15px;"">
                            happy&nbsp;&nbsp;&nbsp;&nbsp;
                            angry&nbsp;&nbsp;&nbsp;&nbsp;
                            sad&nbsp;&nbsp;&nbsp;&nbsp;
                            fearful&nbsp;&nbsp;&nbsp;&nbsp;
                            disgust
                        </p>
                        <!-- <p style=""font-size:20px; line-height:15px;"">angry</p>
                        <p style=""font-size:20px;line-height:15px;"">sad</p>
                        <p style=""font-size:20px;line-height:15px;"">fearful</p>
                        <p style=""font-size:20px;line-height:15px;"">disgust</p> -->
                    </div>
            

                    <!-- Grid section -->
                   <div style=""display: flex; justify-content: center; padding-top: 15px;"">
                    <div style=""display: grid; grid-template-columns: repeat(10, 55px); grid-gap: 5px; width: auto;"">
                        <img src=""images/shifted_maps/map27_managua_scaleRev_orientDef_270_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map15_cividis_scaleDef_orientDef_000_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map23_RdYlGn_scaleDef_orientDef_180_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map13_BrBG_scaleRev_orientDef_090_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map07_Greys_scaleRev_orientDef_090_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map12_RdGy_scaleDef_orientDef_000_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map27_berlin_scaleRev_orientDef_090_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map12_BuPu_scaleDef_orientDef_180_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map26_BuGn_scaleDef_orientDef_180_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map10_coolwarm_scaleRev_orientDef_090_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map02_turbo_scaleDef_orientDef_000_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map23_PRGn_scaleRev_orientDef_090_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map15_cividis_scaleRev_orientDef_090_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map05_PiYG_scaleRev_orientDef_270_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map15_YlOrBr_scaleDef_orientDef_180_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map12_RdGy_scaleRev_orientDef_090_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map10_vanimo_scaleRev_orientDef_270_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map05_PiYG_scaleDef_orientDef_180_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map13_magma_scaleDef_orientDef_180_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map13_BrBG_scaleRev_orientDef_090_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map02_Reds_scaleRev_orientDef_270_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map07_Greys_scaleDef_orientDef_000_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map13_magma_scaleDef_orientDef_180_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map10_vanimo_scaleRev_orientDef_270_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map26_BuGn_scaleRev_orientDef_270_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map07_PuRd_scaleDef_orientDef_180_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map05_PuBu_scaleRev_orientDef_090_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map27_berlin_scaleDef_orientDef_000_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map02_turbo_scaleDef_orientDef_000_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map05_PuBu_scaleDef_orientDef_000_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map07_PuRd_scaleRev_orientDef_270_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map10_coolwarm_scaleRev_orientDef_090_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map26_PuOr_scaleRev_orientDef_090_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map12_BuPu_scaleRev_orientDef_270_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map02_Reds_scaleRev_orientDef_270_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map23_RdYlGn_scaleDef_orientDef_180_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map23_PRGn_scaleDef_orientDef_000_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map27_managua_scaleDef_orientDef_180_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map26_PuOr_scaleDef_orientDef_000_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/shifted_maps/map15_YlOrBr_scaleDef_orientDef_180_darkshift.png"" alt=""map"" style=""width: 100%;"">
                    </div>
                </div>

                    <!-- Clear floats -->
                    <div style=""clear: both;""></div>
                </div>
                            ","61","","0","true","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","121845","0.0-7.0","jsvw0zanag","2","97319","2916","<div style=""width:800px;""><p style=""text-align:left"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. When you let go of the slider, your response will be recorded and the next trial will begin. <br>
                    We are interested in your initial impressions of each map for the given concept, so please go with your first intuition. <br>
                    Before you begin the experiment, there will be four training trials for you to practice using the scale. <br>
                     When you are ready to start the training trials, please click ""Continue"".</p><br></div>","0","","","","","","","","","","","","","","","","",""
"","","","","","html-slider-response","8","126323","0.0-8.0-0.0","jsvw0zanag","2","97319","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                    </div>
                                </div>","200","","0","true","0","true","","","","","","","","","","","",""
"","","","","","html-button-response","9","128245","0.0-8.0-1.0","jsvw0zanag","2","97319","1419","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","","","","","","","","","","","",""
