"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","success","timeout","failed_images","failed_audio","failed_video","question_order","slider_start","practiceTrial","practiceTrialNum","correct","concept","texture_id","ishihara_plate","correct_response"
1494,"Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response",0,1498,"0.0-0.0","7wrhqmrbgb",32,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"","","preload",1,2810,"0.0-1.0","7wrhqmrbgb",32,"true","false","[]","[]","[]","",NA,"",NA,"","","",NA,NA
5854,"","","fullscreen",2,9666,"0.0-2.0","7wrhqmrbgb",32,"true","","","","","",NA,"",NA,"","","",NA,NA
29094,"","{""Consent"":[""<strong>I consent</strong>""]}","survey-multi-select",3,38764,"0.0-3.0","7wrhqmrbgb",32,"","","","","","[0]",NA,"",NA,"","","",NA,NA
1167,"Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response",4,39932,"0.0-4.0","7wrhqmrbgb",32,"","","","","","",NA,"",NA,"","","",NA,NA
207512,"","{""Age"":""18"",""Gender"":""Female"",""Race/ethnicity"":""Asian American"",""Languages"":""English, Telugu, Spanish""}","survey-text",5,914392,"0.0-5.0","7wrhqmrbgb",32,"","","","","","",NA,"",NA,"","","",NA,NA
25230,"
                        <div>
                            <div style='text-align:left; font-size:18px; line-height:25px; width: 1300px;'>
                                During this experiment you will be asked to rate how much you associate charts with                                different concepts. Below, you can see some examples of the charts you will be asked to rate. Above the charts
                                is the list of concepts. You will be asked
                                to rate how much you associate each chart with each concept on a scale from 'not at all' to 'very much' like the
                                one below. <br>

                        <div style=""text-align: left; width: 1300px;"">
                            <p style=""font-size:18px; line-height:20px; text-align:center; font-weight:bold"">
                                Angry, Sad, Disgust, Fearful, Happy
                            </p>
                        </div>

                        <div style=""display: flex; justify-content: center; width: 100%;"">
                            <div style=""
                                display: grid;
                                grid-template-columns: repeat(5, 1fr);
                                gap: 8px;
                                padding: 10px;
                                width: 900px;  
                                margin: 0 auto;
                            "">
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_disgust_lo_lo_1_tab20c_ascend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_angry_hi_hi_1_tab20_ascend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_happy_hi_hi_1_Set1_ascend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_sad_hi_hi_1_tab20_ascend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_sad_lo_lo_1_Set1_ascend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_fearful_lo_lo_1_Pastel1_ascend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_disgust_hi_hi_1_tab20b_ascend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_fearful_hi_hi_1_tab20b_decend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_angry_lo_lo_1_tab20c_ascend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/33_happy_lo_lo_1_tab20b_decend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                            </div>
                        </div>
                    </div>
                </div>
                    ","null","html-slider-response",6,939625,"0.0-6.0","7wrhqmrbgb",32,"","","","","","",0,"true",NA,"","","",NA,NA
1431,"<div style=""width:1300px;""><p style=""text-align:left"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. When you let go of the slider, your response will be recorded and the next trial will begin. <br>
                    We are interested in your initial impressions of each chart for a given concept, so please go with your first intuition. 
                    Before you begin the experiment, there will be four training trials for you to practice using the slider. 
                     When you are ready to start the training trials, please click ""Continue"".</p><br></div>","0","html-button-response",7,941058,"0.0-7.0","7wrhqmrbgb",32,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                    </div>
                                </div>","200","html-slider-response",8,944103,"0.0-8.0-0.0","7wrhqmrbgb",32,"","","","","","",0,"true",0,"true","","",NA,NA
1065,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",9,945674,"0.0-8.0-1.0","7wrhqmrbgb",32,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> left endpoint of the scale</p>

                                    </div>
                                </div>","-200","html-slider-response",10,947771,"0.0-9.0-0.0","7wrhqmrbgb",32,"","","","","","",0,"true",1,"true","","",NA,NA
1083,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",11,949358,"0.0-9.0-1.0","7wrhqmrbgb",32,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","107","html-slider-response",12,953502,"0.0-10.0-0.0","7wrhqmrbgb",32,"","","","","","",0,"true",2,"true","","",NA,NA
