"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","rt","stimulus","response","question_order","slider_start","practiceTrial","practiceTrialNum","correct","image_path","concept","repetition","map_id","map_num","scale_name","orientation_code","mapping_code","rotation_code","ishihara_plate","correct_response"
"true","false","[]","[]","[]","preload",0,361,"0.0-0.0","tshvm1e447",20,NA,"",NA,"",NA,"",NA,"","","",NA,NA,NA,"","","","",NA,NA
"","","","","","html-button-response",1,3898,"0.0-1.0","tshvm1e447",20,3536,"Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.",0.5,"",NA,"",NA,"","","",NA,NA,NA,"","","","",NA,NA
"true","","","","","fullscreen",2,6432,"0.0-2.0","tshvm1e447",20,1531,"",NA,"",NA,"",NA,"","","",NA,NA,NA,"","","","",NA,NA
"","","","","","survey-multi-select",3,9984,"0.0-3.0","tshvm1e447",20,3547,"",NA,"[0]",NA,"",NA,"","","",NA,NA,NA,"","","","",NA,NA
"","","","","","html-button-response",4,12297,"0.0-4.0","tshvm1e447",20,2311,"Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.",0.5,"",NA,"",NA,"","","",NA,NA,NA,"","","","",NA,NA
"","","","","","survey-text",5,21196,"0.0-5.0","tshvm1e447",20,8887,"",NA,"",NA,"",NA,"","","",NA,NA,NA,"","","","",NA,NA
"","","","","","html-slider-response",6,81745,"0.0-6.0","tshvm1e447",20,60546,"<div style='text-align:left; font-size:20px; line-height:25px; width: 1000px;'>
                                During this experiment you will be asked to rate how much you associate maps with                    different concepts.<br> Below, you can see some examples of the maps you will be asked to rate. Above the maps
                    is the list of concepts.<br>You will be asked                    to rate how much you associate each map with each concept on a scale from 'not at all' to 'very much' like the
                    one below. <br><br>
                    Now, please look at the list of concepts and maps. For each concept, think about the map you associate 'very
                    much' with the concept.<br>                     When you see that map during the experiment, please rate it near the 'very much' endpoint of the
                    scale.<br>Now, please think about which map you associate 'not at all'                     with each concept. When you see that map during the experiment, please rate it near the 'not at all' endpoint
                    of the scale.<br>
                    Please use the full range of the scale. That is, if a map is somewhat associated with the concept, you would
                    click partway between the middle point and right side of the scale.                    You will be asked to rate each map for a given concept before moving on to the next concept.<br>Press the
                    'Continue' button for instructions on how to use the slider.                    <br>
                </div>

                <div style=""width: 500px; margin: 0 auto;"">
                    <!-- Centered text paragraphs -->
                    <div style=""text-align: center; width: 500px;"">
                        <p style=""font-size:25px; line-height:15px;"">
                            disgust&nbsp;&nbsp;&nbsp;&nbsp;
                            sad&nbsp;&nbsp;&nbsp;&nbsp;
                            happy&nbsp;&nbsp;&nbsp;&nbsp;
                            angry&nbsp;&nbsp;&nbsp;&nbsp;
                            fearful
                        </p>
                        <!-- <p style=""font-size:20px; line-height:15px;"">sad</p>
                        <p style=""font-size:20px;line-height:15px;"">happy</p>
                        <p style=""font-size:20px;line-height:15px;"">angry</p>
                        <p style=""font-size:20px;line-height:15px;"">fearful</p> -->
                    </div>
            

                    <!-- Grid section -->
                   <div style=""display: flex; justify-content: center; padding-top: 15px;"">
                    <div style=""display: grid; grid-template-columns: repeat(10, 55px); grid-gap: 5px; width: auto;"">
                        <img src=""images/map13_YlOrRd_scaleDef_orientMir_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map05_berlin_scaleRev_orientDef_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map26_PiYG_scaleDef_orientDef_180.png"" alt=""map"" style=""width: 100%;""><img src=""images/map13_OrRd_scaleRev_orientMir_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map26_BrBG_scaleRev_orientMir_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map02_coolwarm_scaleDef_orientMir_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map10_magma_scaleDef_orientDef_180.png"" alt=""map"" style=""width: 100%;""><img src=""images/map27_RdGy_scaleRev_orientDef_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map23_BuGn_scaleRev_orientMir_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map07_viridis_scaleDef_orientMir_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map27_PuOr_scaleRev_orientDef_090.png"" alt=""map"" style=""width: 100%;""><img src=""images/map15_BuPu_scaleDef_orientMir_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map15_PuRd_scaleDef_orientDef_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map07_turbo_scaleDef_orientDef_180.png"" alt=""map"" style=""width: 100%;""><img src=""images/map27_RdYlBu_scaleRev_orientMir_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map23_PuBuGn_scaleRev_orientMir_090.png"" alt=""map"" style=""width: 100%;""><img src=""images/map10_inferno_scaleDef_orientDef_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map02_bwr_scaleDef_orientMir_180.png"" alt=""map"" style=""width: 100%;""><img src=""images/map05_managua_scaleDef_orientMir_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map12_Greens_scaleDef_orientMir_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map26_PRGn_scaleRev_orientMir_090.png"" alt=""map"" style=""width: 100%;""><img src=""images/map02_RdYlGn_scaleRev_orientDef_090.png"" alt=""map"" style=""width: 100%;""><img src=""images/map07_gist_earth_scaleDef_orientDef_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map13_YlOrBr_scaleRev_orientDef_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map26_YlGn_scaleDef_orientDef_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map10_Greys_scaleRev_orientMir_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map15_RdPu_scaleDef_orientDef_180.png"" alt=""map"" style=""width: 100%;""><img src=""images/map12_Purples_scaleRev_orientDef_090.png"" alt=""map"" style=""width: 100%;""><img src=""images/map07_plasma_scaleDef_orientMir_180.png"" alt=""map"" style=""width: 100%;""><img src=""images/map23_YlGnBu_scaleRev_orientDef_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map13_Reds_scaleRev_orientDef_090.png"" alt=""map"" style=""width: 100%;""><img src=""images/map12_Oranges_scaleRev_orientMir_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map05_vanimo_scaleDef_orientMir_180.png"" alt=""map"" style=""width: 100%;""><img src=""images/map10_cividis_scaleRev_orientMir_090.png"" alt=""map"" style=""width: 100%;""><img src=""images/map15_GnBu_scaleDef_orientMir_180.png"" alt=""map"" style=""width: 100%;""><img src=""images/map23_PuBu_scaleDef_orientDef_000.png"" alt=""map"" style=""width: 100%;""><img src=""images/map27_RdBu_scaleRev_orientMir_090.png"" alt=""map"" style=""width: 100%;""><img src=""images/map02_Spectral_scaleDef_orientDef_180.png"" alt=""map"" style=""width: 100%;""><img src=""images/map12_Blues_scaleRev_orientDef_270.png"" alt=""map"" style=""width: 100%;""><img src=""images/map05_seismic_scaleRev_orientDef_090.png"" alt=""map"" style=""width: 100%;"">
                    </div>
                </div>

                    <!-- Clear floats -->
                    <div style=""clear: both;""></div>
                </div>
                            ",NA,"",0,"true",NA,"","","",NA,NA,NA,"","","","",NA,NA
"","","","","","html-button-response",7,91344,"0.0-7.0","tshvm1e447",20,9598,"<div style=""width:800px;""><p style=""text-align:left"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. When you let go of the slider, your response will be recorded and the next trial will begin. <br>
                    We are interested in your initial impressions of each map for the given concept, so please go with your first intuition. <br>
                    Before you begin the experiment, there will be four training trials for you to practice using the scale. <br>
                     When you are ready to start the training trials, please click ""Continue"".</p><br></div>",0.5,"",NA,"",NA,"","","",NA,NA,NA,"","","","",NA,NA
"","","","","","html-slider-response",8,94173,"0.0-8.0-0.0","tshvm1e447",20,NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                    </div>
                                </div>",1,"",0,"true",0,"true","","",NA,NA,NA,"","","","",NA,NA
"","","","","","html-button-response",9,95776,"0.0-8.0-1.0","tshvm1e447",20,1102,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>",0.5,"",NA,"",NA,"","","",NA,NA,NA,"","","","",NA,NA
